"","Phylum","treatment","avg_rel_ab","soil","trt_soil"
"1","Amoebozoa","control_ab_euk",0.975836316971584,"dryRGM","control_ab_euk_dryRGM"
"2","Amoebozoa","latrine_ab_euk",1.08455834421106,"dryRGM","latrine_ab_euk_dryRGM"
"3","Archaeplastida","control_ab_euk",10.6883150427341,"dryRGM","control_ab_euk_dryRGM"
"4","Archaeplastida","latrine_ab_euk",16.4998126848721,"dryRGM","latrine_ab_euk_dryRGM"
"5","Other","control_ab_euk",0.975836316971584,"dryRGM","control_ab_euk_dryRGM"
"6","Other","latrine_ab_euk",0.0390483157823772,"dryRGM","latrine_ab_euk_dryRGM"
"7","Other","control_ab_euk",0.975836316971584,"dryRGM","control_ab_euk_dryRGM"
"8","Other","latrine_ab_euk",0.0390483157823772,"dryRGM","latrine_ab_euk_dryRGM"
"9","Other","control_ab_euk",0.975836316971584,"dryRGM","control_ab_euk_dryRGM"
"10","Other","latrine_ab_euk",0.0390483157823772,"dryRGM","latrine_ab_euk_dryRGM"
"11","Excavata","control_ab_euk",1.04112481385766,"dryRGM","control_ab_euk_dryRGM"
"12","Excavata","latrine_ab_euk",1.05466528765077,"dryRGM","latrine_ab_euk_dryRGM"
"13","Other","control_ab_euk",0.975836316971584,"dryRGM","control_ab_euk_dryRGM"
"14","Other","latrine_ab_euk",0.0390483157823772,"dryRGM","latrine_ab_euk_dryRGM"
"15","Obazoa","control_ab_euk",57.8854924467275,"dryRGM","control_ab_euk_dryRGM"
"16","Obazoa","latrine_ab_euk",51.2025558899882,"dryRGM","latrine_ab_euk_dryRGM"
"17","TSAR","control_ab_euk",29.4092313797092,"dryRGM","control_ab_euk_dryRGM"
"18","TSAR","latrine_ab_euk",30.1193594774956,"dryRGM","latrine_ab_euk_dryRGM"
"19","Amoebozoa","control_ab_euk",0.541083325597843,"wetRGM","control_ab_euk_wetRGM"
"20","Amoebozoa","latrine_ab_euk",1.22261795428036,"wetRGM","latrine_ab_euk_wetRGM"
"21","Archaeplastida","control_ab_euk",7.37256314159642,"wetRGM","control_ab_euk_wetRGM"
"22","Archaeplastida","latrine_ab_euk",9.29061209186786,"wetRGM","latrine_ab_euk_wetRGM"
"23","Other","control_ab_euk",0.541083325597843,"wetRGM","control_ab_euk_wetRGM"
"24","Other","latrine_ab_euk",0.081004164874805,"wetRGM","latrine_ab_euk_wetRGM"
"25","Other","control_ab_euk",0.541083325597843,"wetRGM","control_ab_euk_wetRGM"
"26","Other","latrine_ab_euk",0.081004164874805,"wetRGM","latrine_ab_euk_wetRGM"
"27","Other","control_ab_euk",0.541083325597843,"wetRGM","control_ab_euk_wetRGM"
"28","Other","latrine_ab_euk",0.081004164874805,"wetRGM","latrine_ab_euk_wetRGM"
"29","Excavata","control_ab_euk",4.93180226246565,"wetRGM","control_ab_euk_wetRGM"
"30","Excavata","latrine_ab_euk",1.32167445769284,"wetRGM","latrine_ab_euk_wetRGM"
"31","Other","control_ab_euk",0.541083325597843,"wetRGM","control_ab_euk_wetRGM"
"32","Other","latrine_ab_euk",0.081004164874805,"wetRGM","latrine_ab_euk_wetRGM"
"33","Obazoa","control_ab_euk",47.0251514804942,"wetRGM","control_ab_euk_wetRGM"
"34","Obazoa","latrine_ab_euk",32.4753669460021,"wetRGM","latrine_ab_euk_wetRGM"
"35","TSAR","control_ab_euk",40.1293997898459,"wetRGM","control_ab_euk_wetRGM"
"36","TSAR","latrine_ab_euk",55.608724385282,"wetRGM","latrine_ab_euk_wetRGM"
"37","Amoebozoa","control_ab_euk",0.648714626830319,"lia","control_ab_euk_lia"
"38","Amoebozoa","latrine_ab_euk",2.92925647650951,"lia","latrine_ab_euk_lia"
"39","Archaeplastida","control_ab_euk",15.4600880629346,"lia","control_ab_euk_lia"
"40","Archaeplastida","latrine_ab_euk",5.14670564532185,"lia","latrine_ab_euk_lia"
"41","Other","control_ab_euk",0.648714626830319,"lia","control_ab_euk_lia"
"42","Other","latrine_ab_euk",0.370980037817383,"lia","latrine_ab_euk_lia"
"43","Other","control_ab_euk",0.648714626830319,"lia","control_ab_euk_lia"
"44","Other","latrine_ab_euk",0.370980037817383,"lia","latrine_ab_euk_lia"
"45","Other","control_ab_euk",0.648714626830319,"lia","control_ab_euk_lia"
"46","Other","latrine_ab_euk",0.370980037817383,"lia","latrine_ab_euk_lia"
"47","Excavata","control_ab_euk",1.6187918789949,"lia","control_ab_euk_lia"
"48","Excavata","latrine_ab_euk",2.3099761794227,"lia","latrine_ab_euk_lia"
"49","Other","control_ab_euk",0.648714626830319,"lia","control_ab_euk_lia"
"50","Other","latrine_ab_euk",0.370980037817383,"lia","latrine_ab_euk_lia"
"51","Obazoa","control_ab_euk",62.7945812021995,"lia","control_ab_euk_lia"
"52","Obazoa","latrine_ab_euk",46.7245103594564,"lia","latrine_ab_euk_lia"
"53","TSAR","control_ab_euk",19.4778242290407,"lia","control_ab_euk_lia"
"54","TSAR","latrine_ab_euk",42.5185713014722,"lia","latrine_ab_euk_lia"
